benchmark	Type	Orig	Prop	Class	logs.Storm.vi-topo	logs.Storm.ovi-topo	logs.Storm.rs-topo-mecq-exact	logs.Storm.vi2pi-topo-exactlu	logs.Storm.vi2pi-topo-gmres-mono	logs.Storm.vi2lp-topo-mecq-gurobi-4auto	logs.Storm.vi2lp-topo-mecq-soplex-exact	best
evadeV.14-4-0-100.MaxGoal	mdp	drn	P	mdp	724	724	724	51.205	724	724	724	51.205
evadeV.12-4-3-300.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.12-4-0-200.MaxGoal	mdp	drn	P	mdp	724	724	724	18.955	724	724	71.652	18.955
evadeV.9-3-2-50.MaxGoal	mdp	drn	P	mdp	724	724	724	8.638	724	724	12.539	8.638
evadeV.14-4-4-450.MaxGoal	mdp	drn	P	mdp	724	724	724	1	724	724	724	1
evadeV.14-4-2-300.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.12-4-1-100.MaxGoal	mdp	drn	P	mdp	724	724	724	37.606	724	724	724	37.606
evadeV.14-4-1-200.MaxGoal	mdp	drn	P	mdp	724	724	724	6.915	724	724	8.954	6.915
evadeV.12-4-4-50.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.12-4-3-400.MaxGoal	mdp	drn	P	mdp	724	1	258.883	1	1	1	4.211	1
evadeV.14-4-4-350.MaxGoal	mdp	drn	P	mdp	724	1	724	1	1	1	1	1
evadeV.12-4-4-250.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.14-4-4-150.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.14-4-3-500.MaxGoal	mdp	drn	P	mdp	724	1	724	1	1	1	1	1
evadeV.14-4-0-400.MaxGoal	mdp	drn	P	mdp	724	724	724	25.861	724	724	95.705	25.861
evadeV.14-4-2-100.MaxGoal	mdp	drn	P	mdp	724	724	724	56.445	724	724	724	56.445
evadeV.12-4-1-300.MaxGoal	mdp	drn	P	mdp	724	283.97	724	1	724	724	1	1
evadeV.14-4-1-400.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.14-4-1-50.MaxGoal	mdp	drn	P	mdp	724	724	724	16.197	724	724	30.015	16.197
evadeV.12-4-3-200.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeV.12-4-0-300.MaxGoal	mdp	drn	P	mdp	724	1	724	1	1	1	1	1
evadeV.14-4-3-100.MaxGoal	mdp	drn	P	mdp	724	724	724	55.271	724	724	724	55.271
evadeV.12-4-0-100.MaxGoal	mdp	drn	P	mdp	724	724	724	30.164	724	724	724	30.164
evadeV.14-4-3-300.MaxGoal	mdp	drn	P	mdp	724	3.908	724	1	724	1	1	1
evadeV.12-4-4-450.MaxGoal	mdp	drn	P	mdp	724	1	71.149	1	1	1	1	1
airportB.3-200-30-1-200.MaxGoal	mdp	drn	P	mdp	2.349	724	724	1.056	1.064	1.196	724	1.056
airportB.3-200-30-2-300.MaxGoal	mdp	drn	P	mdp	3.876	724	724	2.186	2.051	2.224	724	2.051
airportB.7-200-30-0-200.MaxGoal	mdp	drn	P	mdp	5.307	724	724	1	1	1	724	1
airportB.3-200-30-4-350.MaxGoal	mdp	drn	P	mdp	4.158	724	724	2.32	2.168	2.316	724	2.168
airportB.3-200-30-4-150.MaxGoal	mdp	drn	P	mdp	2.114	18.637	724	1	1	1	724	1
airportB.3-200-30-0-400.MaxGoal	mdp	drn	P	mdp	5.391	724	724	3.325	2.449	2.98	724	2.449
airportB.3-200-30-2-100.MaxGoal	mdp	drn	P	mdp	1.836	1	724	1	1	1	724	1
airportB.3-200-30-1-400.MaxGoal	mdp	drn	P	mdp	4.179	724	724	2.97	2.662	2.796	724	2.662
airportB.3-200-30-3-100.MaxGoal	mdp	drn	P	mdp	1.796	1	724	1	1	1	724	1
airportB.3-200-30-0-200.MaxGoal	mdp	drn	P	mdp	2.879	724	724	1.098	1.014	1.122	724	1.014
airportB.3-200-30-3-300.MaxGoal	mdp	drn	P	mdp	4.127	724	724	2.158	1.873	1.842	724	1.842
airportB.7-200-30-0-100.MaxGoal	mdp	drn	P	mdp	3.011	1	724	1	1	1	724	1
airportB.3-200-30-3-400.MaxGoal	mdp	drn	P	mdp	4.495	724	724	3.383	2.79	2.919	724	2.79
airportB.3-200-30-1-300.MaxGoal	mdp	drn	P	mdp	3.286	724	724	1.962	1.86	1.83	724	1.83
airportB.3-200-30-2-200.MaxGoal	mdp	drn	P	mdp	2.538	724	724	1	1	1	724	1
airportB.3-200-30-4-250.MaxGoal	mdp	drn	P	mdp	3.604	724	724	1.448	1.331	1.484	724	1.331
airportB.7-200-30-0-300.MaxGoal	mdp	drn	P	mdp	6.735	724	724	1	1	1	1	1
airportB.3-200-30-0-300.MaxGoal	mdp	drn	P	mdp	4.005	724	724	1.9	1.81	1.817	724	1.81
airportB.3-200-30-3-200.MaxGoal	mdp	drn	P	mdp	2.95	724	724	1.26	1.152	1.247	724	1.152
airportB.3-200-30-2-400.MaxGoal	mdp	drn	P	mdp	4.322	724	724	2.767	2.546	2.606	724	2.546
airportB.3-200-30-0-100.MaxGoal	mdp	drn	P	mdp	1.72	1	724	1	1	1	724	1
airportB.3-200-30-3-150.MaxGoal	mdp	drn	P	mdp	2.099	724	724	1	1	1	724	1
airportB.3-200-30-0-250.MaxGoal	mdp	drn	P	mdp	2.905	724	724	1.432	1.325	1.388	724	1.325
airportB.3-200-30-3-350.MaxGoal	mdp	drn	P	mdp	3.761	724	724	2.659	2.242	2.475	724	2.242
airportB.3-200-30-1-250.MaxGoal	mdp	drn	P	mdp	2.853	724	724	1.506	1.35	1.414	724	1.35
airportB.3-200-30-2-350.MaxGoal	mdp	drn	P	mdp	3.987	724	724	2.328	2.137	1.935	724	1.935
airportB.3-200-30-4-300.MaxGoal	mdp	drn	P	mdp	3.589	724	724	2.353	1.81	1.82	724	1.81
airportB.3-200-30-4-100.MaxGoal	mdp	drn	P	mdp	1.888	1	724	1	1	1	724	1
airportB.7-200-30-0-50.MaxGoal	mdp	drn	P	mdp	1.181	1	724	1	1	1	724	1
airportB.3-200-30-2-150.MaxGoal	mdp	drn	P	mdp	2.59	23.609	724	1	1	1	724	1
airportB.3-200-30-0-350.MaxGoal	mdp	drn	P	mdp	4.011	724	724	2.897	2.676	2.641	724	2.641
airportB.3-200-30-3-250.MaxGoal	mdp	drn	P	mdp	2.953	724	724	1.449	1.471	1.601	724	1.449
airportB.3-200-30-2-450.MaxGoal	mdp	drn	P	mdp	6.552	724	724	3.018	3.659	3.76	724	3.018
airportB.3-200-30-0-150.MaxGoal	mdp	drn	P	mdp	2.239	4.773	724	1	1	1	724	1
airportB.3-200-30-4-400.MaxGoal	mdp	drn	P	mdp	4.396	724	724	2.82	2.335	2.299	724	2.299
airportB.7-200-30-0-150.MaxGoal	mdp	drn	P	mdp	4.09	1	724	1	1	1	724	1
airportB.3-200-30-1-150.MaxGoal	mdp	drn	P	mdp	1.888	9.8	724	1	1	1	724	1
airportB.3-200-30-1-350.MaxGoal	mdp	drn	P	mdp	3.743	724	724	2.556	2.322	2.263	724	2.263
airportB.3-200-30-2-250.MaxGoal	mdp	drn	P	mdp	3.556	724	724	1.674	1.627	1.368	724	1.368
airportB.3-200-30-4-200.MaxGoal	mdp	drn	P	mdp	2.661	724	724	1.042	1.049	1.008	724	1.008
airportB.7-200-30-0-350.MaxGoal	mdp	drn	P	mdp	9.685	724	724	1	1	1	1	1
airportA.7-200-30-1-200.MaxGoal	mdp	drn	P	mdp	1.723	1	724	1	1	1	724	1
airportA.7-200-30-4-350.MaxGoal	mdp	drn	P	mdp	3.532	724	724	1	1	1	1	1
airportA.7-200-30-4-150.MaxGoal	mdp	drn	P	mdp	1.537	1	724	1	1	1	724	1
airportA.7-200-30-0-400.MaxGoal	mdp	drn	P	mdp	81.91	724	724	1	1	1	1	1
airportA.7-200-30-1-400.MaxGoal	mdp	drn	P	mdp	51.218	724	724	1	1	1	1	1
airportA.7-400-40-4-450.MaxGoal	mdp	drn	P	mdp	1	724	724	1	1	1	724	1
airportA.7-200-30-3-300.MaxGoal	mdp	drn	P	mdp	3.053	724	724	1	1	1	1	1
airportA.7-200-30-0-200.MaxGoal	mdp	drn	P	mdp	1.938	1	724	1	1	1	724	1
airportA.7-200-30-3-400.MaxGoal	mdp	drn	P	mdp	3.489	724	724	1	1	1	1	1
airportA.7-400-40-2-100.MaxGoal	mdp	drn	P	mdp	1	1	724	1	1	1	724	1
airportA.7-400-40-2-50.MaxGoal	mdp	drn	P	mdp	1	1	724	1	1	1	724	1
airportA.7-200-30-2-200.MaxGoal	mdp	drn	P	mdp	1.964	1	724	1	1	1	724	1
airportA.7-200-30-1-300.MaxGoal	mdp	drn	P	mdp	2.634	1	724	1	1	1	1	1
airportA.7-400-40-1-200.MaxGoal	mdp	drn	P	mdp	1	724	724	1	1	1	724	1
airportA.7-200-30-4-250.MaxGoal	mdp	drn	P	mdp	2.276	1	724	1	1	1	724	1
airportA.7-200-30-3-200.MaxGoal	mdp	drn	P	mdp	2.314	1	724	1	1	1	724	1
airportA.7-200-30-0-300.MaxGoal	mdp	drn	P	mdp	2.969	1	724	1	1	1	1	1
airportA.7-400-40-1-400.MaxGoal	mdp	drn	P	mdp	1	724	724	1	1	1	724	1
airportA.7-200-30-2-400.MaxGoal	mdp	drn	P	mdp	3.738	724	724	1	1	1	1	1
airportA.7-200-30-3-150.MaxGoal	mdp	drn	P	mdp	1.841	1	724	1	1	1	724	1
airportA.7-200-30-3-350.MaxGoal	mdp	drn	P	mdp	2.997	724	724	1	1	1	1	1
airportA.7-200-30-2-350.MaxGoal	mdp	drn	P	mdp	3.503	724	724	1	1	1	1	1
airportA.7-200-30-2-150.MaxGoal	mdp	drn	P	mdp	1.771	1	724	1	1	1	724	1
airportA.7-200-30-0-350.MaxGoal	mdp	drn	P	mdp	3.09	1	724	1	1	1	1	1
airportA.7-200-30-0-150.MaxGoal	mdp	drn	P	mdp	1.858	1	724	1	1	1	724	1
airportA.7-200-30-4-400.MaxGoal	mdp	drn	P	mdp	82.945	724	724	1	1	1	1	1
airportA.7-400-40-4-500.MaxGoal	mdp	drn	P	mdp	1	724	724	1	1	1	724	1
airportA.7-200-30-1-150.MaxGoal	mdp	drn	P	mdp	1.362	1	724	1	1	1	724	1
airportA.7-200-30-2-250.MaxGoal	mdp	drn	P	mdp	2.201	1	724	1	1	1	724	1
airportA.7-200-30-1-350.MaxGoal	mdp	drn	P	mdp	3.538	724	724	1	1	1	1	1
airportA.7-400-40-4-300.MaxGoal	mdp	drn	P	mdp	1	724	724	1	1	1	724	1
airportA.7-200-30-4-200.MaxGoal	mdp	drn	P	mdp	1.881	1	724	1	1	1	724	1
refuelB.18-200-19-550.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-9-450.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-9-900.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-9-650.MaxGoal	mdp	drn	P	mdp	1	1	1	1	1	1	1	1
refuelB.18-200-14-600.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-12-150.MaxGoal	mdp	drn	P	mdp	5.798	1	1	1	1	1	1	1
refuelB.18-200-21-200.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-5-200.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-24-550.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-16-200.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-5-400.MaxGoal	mdp	drn	P	mdp	1	1	1	1	1	1	1	1
refuelB.18-200-11-900.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-11-500.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-10-300.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-17-350.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-23-450.MaxGoal	mdp	drn	P	mdp	1	1	1	1	1	1	1	1
refuelB.18-200-19-700.MaxGoal	mdp	drn	P	mdp	1	1	1	1	1	1	1	1
refuelB.18-200-13-1000.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-7-150.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-19-200.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-13-500.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-7-800.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelB.18-200-6-150.MaxGoal	mdp	drn	P	mdp	6.615	1	1	1	1	1	1	1
evadeI.19-0-450.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-4-300.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-0-250.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-3-350.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-4-200.MaxGoal	mdp	drn	P	mdp	724	1	30.165	1	1	1	1	1
evadeI.19-3-450.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-4-400.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-3-250.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-3-300.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-2-500.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-4-150.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-0-400.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-3-500.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-4-350.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-4-250.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-0-500.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
evadeI.19-3-400.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelA.25-100-11-800.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelA.30-70-16-600.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelA.30-70-11-850.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
refuelA.25-100-3-900.MaxGoal	mdp	drn	P	mdp	724	1	1	1	1	1	1	1
