n	logs.Storm.vi-toposhifted	logs.Storm.vi-topo-mecqshifted	logs.Storm.ovi-toposhifted	logs.Storm.rs-topo-mecq-exactshifted	logs.Storm.pi-mono-gmres-toposhifted	logs.Storm.vi2pi-topo-exactlushifted	logs.Storm.vi2pi-topo-gmres-monoshifted	logs.Storm.vi2lp-topo-mecq-gurobi-4autoshifted	logs.Storm.vi2lp-topo-mecq-soplex-exactshifted	logs.mcsta.iishifted	logs.mcsta.vi-esshifted	logs.Storm.bestshifted	logs.mcsta.bestshifted	selection-bestshifted	bestshifted
56	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
57	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
58	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
59	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
60	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
61	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
62	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
63	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
64	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
65	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
66	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
67	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
68	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
69	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
70	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
71	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
72	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
73	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
74	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
75	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
76	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
77	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
78	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
79	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
80	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
81	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
82	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
83	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
84	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
85	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
86	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
87	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
88	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
89	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
90	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
91	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
92	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
93	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
94	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
95	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
96	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
97	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
98	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
99	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
100	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
101	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
102	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
103	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
104	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
105	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
106	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
107	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
108	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
109	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
110	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
111	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
112	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
113	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
114	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
115	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
116	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
117	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
118	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
119	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
120	0.1	0.1	0.1	0.122	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
121	0.1	0.1	0.1	0.125	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
122	0.1	0.1	0.1	0.132	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
123	0.1	0.1	0.1	0.134	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
124	0.1	0.1	0.1	0.144	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
125	0.1	0.1	0.1	0.156	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
126	0.1	0.1	0.1	0.162	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
127	0.1	0.1	0.1	0.169	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
128	0.1	0.1	0.1	0.174	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
129	0.1	0.1	0.1	0.177	0.1	0.1	0.1	0.1	0.101	0.1	0.1	0.1	0.1	0.1	0.1
130	0.1	0.1	0.1	0.186	0.1	0.1	0.1	0.1	0.103	0.1	0.1	0.1	0.1	0.1	0.1
131	0.1	0.1	0.1	0.19	0.1	0.1	0.1	0.1	0.105	0.1	0.1	0.1	0.1	0.1	0.1
132	0.1	0.1	0.1	0.194	0.1	0.1	0.1	0.1	0.117	0.1	0.1	0.1	0.1	0.1	0.1
133	0.1	0.1	0.1	0.199	0.1	0.1	0.1	0.1	0.119	0.1	0.1	0.1	0.1	0.1	0.1
134	0.1	0.1	0.1	0.207	0.1	0.1	0.1	0.1	0.119	0.1	0.1	0.1	0.1	0.1	0.1
135	0.1	0.1	0.1	0.218	0.1	0.1	0.1	0.1	0.12	0.1	0.1	0.1	0.1	0.1	0.1
136	0.1	0.1	0.1	0.25	0.1	0.1	0.1	0.1	0.12	0.1	0.1	0.1	0.1	0.1	0.1
137	0.1	0.1	0.1	0.26	0.1	0.1	0.1	0.1	0.121	0.1	0.1	0.1	0.1	0.1	0.1
138	0.1	0.1	0.1	0.26	0.1	0.1	0.1	0.1	0.124	0.1	0.1	0.1	0.1	0.1	0.1
139	0.1	0.1	0.1	0.262	0.1	0.1	0.1	0.1	0.124	0.1	0.1	0.1	0.1	0.1	0.1
140	0.1	0.1	0.1	0.265	0.1	0.1	0.1	0.1	0.139	0.2	0.1	0.1	0.1	0.1	0.1
141	0.1	0.1	0.1	0.281	0.1	0.1	0.1	0.1	0.139	0.2	0.1	0.1	0.1	0.1	0.1
142	0.1	0.1	0.1	0.294	0.1	0.1	0.1	0.1	0.145	0.2	0.1	0.1	0.1	0.1	0.1
143	0.1	0.1	0.1	0.298	0.1	0.1	0.1	0.1	0.147	0.2	0.1	0.1	0.1	0.1	0.1
144	0.1	0.1	0.1	0.308	0.1	0.1	0.1	0.1	0.149	0.2	0.1	0.1	0.1	0.1	0.1
145	0.1	0.1	0.1	0.333	0.1	0.1	0.1	0.1	0.151	0.2	0.1	0.1	0.1	0.1	0.1
146	0.1	0.1	0.1	0.365	0.1	0.1	0.1	0.1	0.153	0.2	0.1	0.1	0.1	0.1	0.1
147	0.1	0.1	0.1	0.366	0.1	0.1	0.1	0.1	0.155	0.2	0.1	0.1	0.1	0.1	0.1
148	0.1	0.1	0.1	0.372	0.1	0.1	0.1	0.1	0.155	0.2	0.1	0.1	0.1	0.1	0.1
149	0.1	0.1	0.1	0.376	0.1	0.1	0.1	0.1	0.157	0.2	0.1	0.1	0.1	0.1	0.1
150	0.1	0.1	0.1	0.4	0.1	0.1	0.1	0.1	0.163	0.2	0.1	0.1	0.1	0.1	0.1
151	0.1	0.1	0.1	0.417	0.1	0.1	0.1	0.1	0.165	0.2	0.1	0.1	0.1	0.1	0.1
152	0.1	0.1	0.1	0.46	0.1	0.1	0.1	0.1	0.168	0.2	0.1	0.1	0.1	0.1	0.1
153	0.1	0.1	0.1	0.49	0.1	0.1	0.1	0.1	0.175	0.2	0.1	0.1	0.1	0.1	0.1
154	0.1	0.1	0.1	0.498	0.1	0.1	0.1	0.1	0.178	0.2	0.1	0.1	0.1	0.1	0.1
155	0.1	0.1	0.1	0.53	0.1	0.1	0.1	0.1	0.183	0.2	0.1	0.1	0.1	0.1	0.1
156	0.1	0.1	0.1	0.532	0.1	0.1	0.1	0.1	0.198	0.2	0.1	0.1	0.1	0.1	0.1
157	0.1	0.1	0.1	0.534	0.1	0.102	0.1	0.1	0.202	0.2	0.1	0.1	0.1	0.1	0.1
158	0.1	0.1	0.1	0.548	0.1	0.118	0.1	0.1	0.204	0.3	0.1	0.1	0.1	0.1	0.1
159	0.1	0.1	0.1	0.623	0.1	0.131	0.1	0.1	0.218	0.3	0.1	0.1	0.1	0.1	0.1
160	0.1	0.1	0.1	0.675	0.1	0.133	0.1	0.1	0.246	0.3	0.1	0.1	0.1	0.1	0.1
161	0.1	0.1	0.1	0.689	0.1	0.134	0.1	0.1	0.252	0.3	0.1	0.1	0.1	0.1	0.1
162	0.1	0.1	0.1	0.715	0.1	0.138	0.1	0.1	0.254	0.3	0.1	0.1	0.1	0.1	0.1
163	0.1	0.1	0.1	0.724	0.1	0.154	0.1	0.1	0.259	0.3	0.1	0.1	0.1	0.1	0.1
164	0.1	0.1	0.1	0.731	0.1	0.156	0.1	0.1	0.288	0.3	0.1	0.1	0.1	0.1	0.1
165	0.1	0.1	0.1	0.756	0.1	0.17	0.1	0.1	0.29	0.3	0.1	0.1	0.1	0.1	0.1
166	0.1	0.1	0.1	0.793	0.1	0.173	0.1	0.1	0.292	0.3	0.1	0.1	0.1	0.1	0.1
167	0.1	0.1	0.1	0.809	0.1	0.183	0.1	0.1	0.298	0.4	0.1	0.1	0.1	0.1	0.1
168	0.1	0.1	0.1	0.816	0.1	0.185	0.1	0.1	0.314	0.4	0.1	0.1	0.1	0.1	0.1
169	0.1	0.1	0.1	0.844	0.1	0.19	0.1	0.1	0.334	0.4	0.1	0.1	0.1	0.1	0.1
170	0.1	0.1	0.1	0.847	0.1	0.208	0.1	0.1	0.335	0.4	0.1	0.1	0.1	0.1	0.1
171	0.1	0.1	0.1	0.867	0.1	0.209	0.1	0.1	0.356	0.4	0.1	0.1	0.1	0.1	0.1
172	0.1	0.1	0.1	0.875	0.1	0.213	0.1	0.101	0.363	0.4	0.1	0.1	0.1	0.1	0.1
173	0.1	0.1	0.1	0.876	0.1	0.216	0.1	0.101	0.368	0.4	0.1	0.1	0.1	0.1	0.1
174	0.1	0.1	0.1	0.882	0.1	0.218	0.1	0.101	0.377	0.4	0.1	0.1	0.1	0.1	0.1
175	0.1	0.1	0.1	0.887	0.1	0.221	0.1	0.102	0.466	0.4	0.1	0.1	0.1	0.1	0.1
176	0.1	0.1	0.1	0.895	0.1	0.239	0.1	0.105	0.502	0.5	0.1	0.1	0.1	0.1	0.1
177	0.1	0.1	0.1	0.909	0.1	0.249	0.1	0.107	0.534	0.5	0.1	0.1	0.1	0.1	0.1
178	0.1	0.1	0.1	0.95	0.1	0.25	0.1	0.11	0.545	0.5	0.1	0.1	0.1	0.1	0.1
179	0.1	0.1	0.1	0.95	0.1	0.254	0.1	0.116	0.605	0.5	0.1	0.1	0.1	0.1	0.1
180	0.1	0.1	0.1	0.951	0.1	0.26	0.1	0.117	0.624	0.5	0.1	0.1	0.1	0.1	0.1
181	0.1	0.1	0.1	0.965	0.1	0.264	0.1	0.119	0.684	0.6	0.1	0.1	0.1	0.1	0.1
182	0.1	0.1	0.1	0.993	0.1	0.272	0.1	0.12	0.771	0.6	0.1	0.1	0.1	0.1	0.1
183	0.1	0.1	0.1	1.017	0.1	0.274	0.1	0.12	0.778	0.6	0.1	0.1	0.1	0.1	0.1
184	0.1	0.1	0.1	1.032	0.1	0.288	0.1	0.122	0.798	0.6	0.1	0.1	0.1	0.1	0.1
185	0.1	0.1	0.1	1.088	0.1	0.296	0.1	0.126	0.823	0.6	0.1	0.1	0.1	0.1	0.1
186	0.1	0.1	0.1	1.129	0.1	0.299	0.1	0.129	0.823	0.6	0.1	0.1	0.1	0.1	0.1
187	0.1	0.1	0.1	1.31	0.101	0.309	0.1	0.132	0.827	0.6	0.1	0.1	0.1	0.1	0.1
188	0.1	0.1	0.1	1.349	0.102	0.328	0.1	0.138	0.832	0.7	0.1	0.1	0.1	0.1	0.1
189	0.1	0.1	0.1	1.358	0.103	0.334	0.1	0.142	0.834	0.7	0.1	0.1	0.1	0.1	0.1
190	0.1	0.1	0.1	1.397	0.106	0.336	0.1	0.149	0.859	0.7	0.1	0.1	0.1	0.1	0.1
191	0.1	0.1	0.1	1.412	0.106	0.361	0.1	0.152	0.891	0.7	0.1	0.1	0.1	0.1	0.1
192	0.1	0.1	0.1	1.449	0.108	0.374	0.1	0.153	0.894	0.8	0.1	0.1	0.1	0.1	0.1
193	0.1	0.1	0.1	1.481	0.111	0.453	0.1	0.156	1.056	0.8	0.1	0.1	0.1	0.1	0.1
194	0.1	0.1	0.1	1.611	0.117	0.455	0.1	0.157	1.059	0.8	0.1	0.1	0.1	0.1	0.1
195	0.1	0.1	0.1	1.618	0.125	0.492	0.1	0.158	1.105	0.9	0.1	0.1	0.1	0.1	0.1
196	0.1	0.1	0.1	1.679	0.136	0.52	0.1	0.165	1.187	0.9	0.1	0.1	0.1	0.1	0.1
197	0.1	0.1	0.1	1.72	0.138	0.53	0.1	0.167	1.209	0.9	0.1	0.1	0.1	0.1	0.1
198	0.1	0.1	0.1	1.843	0.141	0.534	0.1	0.168	1.389	1.0	0.1	0.1	0.1	0.1	0.1
199	0.1	0.1	0.1	1.844	0.148	0.545	0.1	0.17	1.392	1.1	0.1	0.1	0.1	0.1	0.1
200	0.1	0.1	0.1	1.975	0.166	0.546	0.1	0.176	1.392	1.1	0.1	0.1	0.1	0.1	0.1
201	0.1	0.1	0.1	2.081	0.176	0.648	0.1	0.178	1.537	1.1	0.1	0.1	0.1	0.1	0.1
202	0.1	0.1	0.1	2.175	0.178	0.652	0.102	0.185	1.556	1.1	0.1	0.1	0.1	0.1	0.1
203	0.1	0.1	0.1	2.202	0.18	0.667	0.104	0.186	1.636	1.2	0.1	0.1	0.1	0.1	0.1
204	0.1	0.1	0.1	2.209	0.181	0.677	0.113	0.191	1.727	1.2	0.1	0.1	0.1	0.1	0.1
205	0.1	0.1	0.1	2.251	0.196	0.724	0.121	0.205	1.731	1.3	0.1	0.1	0.1	0.1	0.1
206	0.1	0.1	0.1	2.287	0.196	0.729	0.121	0.206	1.776	1.3	0.1	0.1	0.1	0.1	0.1
207	0.1	0.1	0.1	2.412	0.2	0.73	0.141	0.209	1.806	1.3	0.1	0.1	0.1	0.1	0.1
208	0.1	0.1	0.1	2.614	0.201	0.755	0.142	0.209	1.831	1.4	0.1	0.1	0.1	0.1	0.1
209	0.1	0.1	0.1	2.823	0.219	0.775	0.148	0.236	2.006	1.4	0.1	0.1	0.1	0.1	0.1
210	0.1	0.1	0.1	2.926	0.226	0.796	0.149	0.237	2.047	1.4	0.1	0.1	0.1	0.1	0.1
211	0.1	0.1	0.1	3.412	0.23	0.801	0.154	0.24	2.125	1.4	0.1	0.1	0.1	0.1	0.1
212	0.1	0.1	0.1	3.638	0.233	0.803	0.157	0.24	2.126	1.4	0.1	0.1	0.1	0.1	0.1
213	0.1	0.1	0.1	3.826	0.245	0.804	0.16	0.262	2.177	1.5	0.1	0.1	0.1	0.1	0.1
214	0.1	0.1	0.1	3.931	0.247	0.806	0.161	0.274	2.194	1.5	0.1	0.1	0.1	0.1	0.1
215	0.102	0.1	0.1	4.331	0.259	0.808	0.163	0.283	2.249	1.5	0.1	0.1	0.1	0.1	0.1
